epoch,accuracy,val_accuracy
1,0.8453,0.9577
2,0.9613,0.9648
3,0.9743,0.976
4,0.9792,0.98
5,0.9834,0.9785
6,0.9855,0.9822
7,0.9874,0.984
8,0.9887,0.9856
9,0.9904,0.9865
10,0.9913,0.9864
11,0.9921,0.985
12,0.9932,0.9875
13,0.9938,0.9879
14,0.9944,0.9878
15,0.9948,0.9885
16,0.9959,0.9878
17,0.9958,0.987
18,0.9966,0.9881
19,0.9971,0.9878
20,0.9975,0.9884
21,0.9976,0.9888
22,0.9979,0.9862
23,0.9985,0.9892
24,0.9984,0.9886
25,0.9986,0.9892
26,0.9991,0.9892
27,0.9992,0.9894
28,0.9993,0.9882
29,0.9992,0.9883
30,0.9993,0.9883
31,0.9992,0.9885
32,0.9992,0.9892
33,0.9996,0.9886
34,0.9996,0.9865
35,0.9996,0.9885
36,0.9997,0.9894
37,0.9997,0.9884
38,0.9998,0.9887
39,0.9998,0.989
40,0.9999,0.9883
41,0.9999,0.9887
42,0.9999,0.9887
43,0.9998,0.9881
44,0.9998,0.9849
45,0.9997,0.9885
46,0.9998,0.9888
47,1.0,0.989
48,1.0,0.9886
49,1.0,0.989
50,0.9999,0.9892
51,1.0,0.9893
52,1.0,0.989
53,1.0,0.9893
54,1.0,0.9892
55,1.0,0.9889
56,1.0,0.9892
57,1.0,0.9887
58,1.0,0.9892
59,1.0,0.9891
60,0.9999,0.9891
61,1.0,0.9893
62,1.0,0.9896
63,1.0,0.9892
64,1.0,0.9891
65,1.0,0.9892
66,1.0,0.9891
67,1.0,0.9894
68,1.0,0.9891
69,1.0,0.9896
70,1.0,0.9892
71,1.0,0.9894
72,1.0,0.9894
73,1.0,0.9896
74,1.0,0.9892
75,1.0,0.9893
76,1.0,0.9894
77,1.0,0.9893
78,1.0,0.9892
79,1.0,0.9894
80,1.0,0.9895
81,1.0,0.9893
82,1.0,0.9894
83,1.0,0.9892
84,1.0,0.9892
85,1.0,0.9893
86,1.0,0.9894
87,1.0,0.9894
88,1.0,0.9893
89,1.0,0.9896
90,1.0,0.9894
91,1.0,0.9893
92,1.0,0.9895
93,1.0,0.9894
94,1.0,0.9894
95,1.0,0.9892
96,1.0,0.9895
97,1.0,0.9894
98,1.0,0.9894
99,1.0,0.9892
100,1.0,0.9893