epoch,val_accuracy
1,0.9795
2,0.9845
3,0.9858
4,0.9893
5,0.9886
6,0.9883
7,0.9884
8,0.989
9,0.9878
10,0.9912
11,0.9893
12,0.9897
13,0.9908
14,0.9899
15,0.9902
16,0.9906
17,0.9913
18,0.9919
19,0.9911
20,0.9915
21,0.992
22,0.9916
23,0.991
24,0.9913
25,0.9918
26,0.9915
27,0.9916
28,0.9915
29,0.9913
30,0.9917
31,0.9914
32,0.9914
33,0.9917
34,0.9915
35,0.9918
36,0.9916
37,0.9918
38,0.9919
39,0.9916
40,0.9917
41,0.9918
42,0.9918
43,0.9916
44,0.9917
45,0.9919
46,0.9919
47,0.9919
48,0.9919
49,0.9918
50,0.992
51,0.9917
52,0.9919
53,0.9918
54,0.9919
55,0.9919
56,0.992
57,0.9919
58,0.9918
59,0.9919
60,0.9919
61,0.9918
62,0.9919
63,0.9919
64,0.9918
65,0.9919
66,0.9919
67,0.9918
68,0.9918
69,0.9918
70,0.9918
71,0.9919
72,0.9918
73,0.9917
74,0.9918
75,0.9919
76,0.9918
77,0.9918
78,0.9918
79,0.9918
80,0.9918
81,0.9918
82,0.9917
83,0.9917
84,0.9917
85,0.9918
86,0.9917
87,0.9917
88,0.9916
89,0.9918
90,0.9918
91,0.9918
92,0.9919
93,0.9916
94,0.9918
95,0.9917
96,0.9916
97,0.9918
98,0.9916
99,0.9918
100,0.9919